"Artist Name";"Net Revenue"
"тенденция, морали нет";17309.918093542484712
"SWA EMPIRE";9644.894320843477544
тенденция;6518.485934747463943
"SEMPAI, Wyzzi";5772.682110885460133
виесван;3211.545502606199989
cawabang;3159.078795969184739
athysue;1958.740737869273971
whited0lly.exe;1296.328154369506137
gwenn;1208.616836114395710
6wounds;1155.879105016299945
OMORIKUN;826.569922409513993
"athysue, w0rsty";820.873068496688006
"Goth Angel";757.886525931270626
JOLLYMATE;654.478501400712048
"cawabang, gwenn";651.176095540486017
"athysue, kweetee";610.398570588812163
SEMPAI;492.561987932510931
maryy;458.957254005915956
"PSYCHOKID, Dacdplays";443.379280102465998
"Schizophrenic, PSYCHOKID";424.007296498293954
"виесван, PERSONAL ANIMOSITY";400.560171479453061
"maryy, oukoo";369.656673259944114
"виесван, YELLOW.Eyes";359.106153328369999
"athysue, maryy";332.521250693151671
"YELLOW.Eyes, виесван";327.722141872649956
"OMORIKUN, feeble";282.775138158111872
LALLLEK;282.002389583631953
"Yukisoru, athysue";231.073002727639960
oukoo;229.122457554685951
PSYCHOKID;226.534278845968970
zums;225.199676860932016
"Ecsta, SEMPAI";205.754193675867896
"on1t, t1de";195.700405402853050
XFOURSE;191.179812441814903
"athysue, сумка33";190.426320199857003
"athysue, may";176.661664538731969
Hxxic999;175.480893585488047
"breakfall, angelgrind";170.076345016218994
"wheremycurly, hayase";156.733516251869048
on1t;153.192707216512929
"Hishinar, SpeeKi";152.374203039896003
VADIX;151.531443051125990
"maryy, athysue, w0rsty";141.740710286018100
"evacry, 3umph";129.605882964005986
"on1t, t1de, setinai";128.033663909840953
YELLOW.Eyes;122.863328098557986
"DRUGPY, oxidative";116.141328255504021
"GlookiPail, Мирби";115.453864111008983
"tomoe may cry";114.905411866906022
Hishinar;113.082673876912935
"SWA EMPIRE, флорá";107.081509849081968
Zerix;104.064248519255031
глеб;103.766541498494007
SXNDERMXDE;97.370313474021970
Mandree;96.036467514232001
"athysue, tarab";92.310872031502015
hayase;90.304740065543996
GlookiPail;85.116534402066989
"Concolor Area";83.730236287251998
nxrthwest;83.479657426840006
Wyzzi;80.387146298291015
DELFIKSTAF;77.711264886441910
"VADIX, щкёрт";74.861571811244005
"kweetee, athysue";74.828693534153970
"maryy, Yukisoru, di4umi";72.949533770927005
DELFAUX;72.688063519543007
"SEMPAI, Ecsta";72.368093471145002
ukrxp;69.271170230393011
Yukisoru;56.531769965698032
qqdie;54.285110606765002
"МОЛОДОЙ ПАКЕТ, devins0ul";53.141732172085000
romanastasi;52.201462018251014
"SXNDERMXDE, unnic0rn";51.742752821634028
"bio, zeromandia, tarab";48.409600246772008
"kannoe, nipa regret, on1t";46.373342965511000
kittykeylon;44.825522317929980
ИНФИ;43.633728265626999
GODZHATOV;43.567818858215986
babybonov;39.850768162158985
"Hustle Kali";38.161937560759995
"CBmainer, Paskeka";36.752925243923009
"SXNDERMXDE, TW1XX";33.449871158564996
Nanami;32.640645250671994
SADBOI;32.200444632361986
XAGAL;31.306682637746011
"лил чича, тонси";30.796936242685000
onwq;29.706746456351006
"Ecsta, SEMPAI, Wyzzi";29.496995754048001
"maryy, di4umi";27.641717600645997
"nipa regret, kannoe";27.072293927282995
"syndrome, kaourtney";26.015594564975011
"whited0lly.exe, Cherry Emotional";25.493510418718003
"nipa regret, kannoe, onokami";25.281958548718997
kenma;25.116853549959000
"LALLLEK, never die";24.925752853792002
"Goth Angel, Dид";24.523171372800007
"DELFIKSTAF, UMSY";23.988928080490997
Beseane;22.266443422217989
тенда;21.707034301038000
SOBERBO1;20.668221522285002
Dimian;19.977705160795999
"тёма дарки";19.873192689494005
LEEPWAY;19.647154633866009
"evee, gloss";19.396830340036001
"Немое Солнце";19.339445252539996
слипи;18.835041565780003
колпак;18.490178452618000
Yuppe;18.435585370396005
"мёртвый идол";18.375111112999999
di4umi;18.172828202060007
"Yaggi, ILUV";18.033354857074993
"SXNDERMXDE, Enument";17.720490915150993
"D'Vorah, щкёрт";17.537629005159996
"DELFIKSTAF, dekma";17.149799099075000
ARTEX;17.047691868956989
"МОЛОДОЙ ПАКЕТ";16.908885797627999
"МОЛОДОЙ ПАКЕТ, YELLOW.Eyes";16.655573463579998
"лил чича, тонси, ИНФИ, тенда";16.639852789106001
"maryy, тенда, kweetee";16.064786462223999
"AlwaysAlone, Sencho";14.758680521010001
"tab1a, di4umi, oukoo, Yukisoru, maryy";14.666556454768999
whoisnewell;14.514949978632004
KIDRONIN;14.483359002837002
"Wyzzi, SEMPAI";14.284206204422997
"LALLLEK, нольдва";14.203638198646999
yordaa;13.544991691098998
"YELLOW.Eyes, whited0lly.exe";12.635517167989001
"лил чича, иса, ИНФИ";12.544458296988003
"экстра!, щкёрт";12.437211910710001
podesne;12.087634977098999
"PUL$AR!, on1t";11.999734406312999
"preziklil, Paskeka, CBmainer";11.662860419887000
"19 o'clock, щкёрт";10.825274629617999
"лил чича";10.811855181623999
"SXNDERMXDE, on1t";10.640215960555000
Noxero;10.627684053324002
Kolpachello;10.443278307042000
"Devil May Cry";10.298201545473999
"onwq, kweetee";10.200017923257001
"onwq, Yukisoru";10.155051889750000
"Bibi Sihange!";10.021774124019000
BULAT;9.953815370666998
"YELLOW.Eyes, МОЛОДОЙ ПАКЕТ";9.838873138486999
ЯросL#ve;9.687065474771996
"CBmainer, Paskeka, sKer1T";9.499409550102998
"romanastasi, mmmyth";9.270353535191999
"GODZHATOV, D.Rayd";9.127003842762001
BDT;8.966525285868000
"Noxero, daybloom";8.878832970114999
tab1a;8.829372569805999
02code;8.751602644198998
тонси;8.742229191231001
minayo;8.601763480339001
"Paskeka, Obscurity";8.507091458717001
"PUL$AR!, E$Kiev";8.481221253829002
фэтби;8.454127488631999
"sunschn, warsy!";8.435378615334997
"Daddy Rozen";8.411578454792998
"nipa regret";8.227080540109000
"GODZHATOV, Sunlimoon";8.206231441766999
"VIRGIN 4EVER, Kinnashi";8.159404375983002
"DELFIKSTAF, OKTAWA";8.125668561908999
s6yxt1boyyy;7.391703430982001
"on1t, fumiko!";7.370302090465001
"Ecsta, legrinn";7.127555996747001
"Yuppe, Xtaozii";7.068224609722000
"Holaboy, PUL$AR!";7.045747377436000
"Scruffy Devil, shudloger";7.038916043155997
JAVELIN;7.000002844045000
"on1t, Nanami";6.758747937545000
"onwq, oukoo";6.695940852195999
"destroy sally";6.587585604850999
"AlwaysAlone, Sencho, Жан Робер";6.399045524561001
EmDzZzIk;6.385156496792998
oktawa;6.154429704108000
"LALLLEK, taida.dmg";5.990863266517001
"senCA, nt4lone, zeromandia";5.955451922235000
D.Rayd;5.948773775785999
Clxudboy;5.802295467047999
DE$TROFIK;5.728056295078997
"Clxudboy, .youngfox";5.717946885370999
"lunsage, hori";5.692115571093000
wwhouu;5.509578139846000
shameless;5.405985577988000
"лил чича, ИНФИ";5.291493110766001
"yungkriket, molodoyeblan";5.228549005511000
"Flicher, smart punk";5.133798778996999
"Minayo, Vano Noir";5.086942869748000
preziklil;4.931247069146999
CBmainer;4.903286027702000
"LIXY, ENGY";4.800177286804000
