"Artist Name";"Net Revenue"
"SWA EMPIRE";10416.249222591381113
виесван;4867.005531091658668
cawabang;3801.346202907650422
"SEMPAI, Wyzzi";3066.792251855088125
6wounds;2303.455518173894234
OMORIKUN;1681.738074775269070
athysue;1496.710269580298245
gwenn;1411.508039617970780
nxrthwest;1185.988983566651086
"cawabang, gwenn";961.095261151755381
whited0lly.exe;867.721836196909067
"виесван, PERSONAL ANIMOSITY";827.717011751803852
"PSYCHOKID, Dacdplays";816.775383670440078
"athysue, kweetee";807.034722161035006
"athysue, w0rsty";796.263957880834710
"Schizophrenic, PSYCHOKID";749.859093302821748
"Ecsta, SEMPAI";727.625631872787380
maryy;696.118400300960730
SEMPAI;674.474250717507061
"Goth Angel";572.696392391277982
"athysue, maryy";465.343815633989720
"OMORIKUN, feeble";454.638022164189124
"athysue, may";344.712095677783793
JOLLYMATE;341.933620176135889
PSYCHOKID;334.558452640821713
"Yukisoru, athysue";303.272393036266976
"wheremycurly, hayase";287.116449116417130
"on1t, t1de";277.978332995861138
VADIX;264.926054393552874
"Hishinar, SpeeKi";260.642278141285942
глеб;258.857411048983863
"SEMPAI, Ecsta";243.850945971634019
"SWA EMPIRE, флорá";205.910608424429000
"тенденция, морали нет";183.925276602382979
DELFIKSTAF;179.329290072445900
"maryy, athysue, w0rsty";175.825939030334979
"on1t, t1de, setinai";162.493605424646972
"GlookiPail, Мирби";158.015971373078060
on1t;156.558070278795014
"DRUGPY, oxidative";155.595430005853075
"виесван, YELLOW.Eyes";152.010364339182985
"CBmainer, Paskeka";147.575835673371046
"kweetee, athysue";140.090671475744983
Hishinar;134.681905739460916
"Ecsta, SEMPAI, Wyzzi";130.098548351542973
"athysue, tarab";123.373420282176028
"tomoe may cry";119.998370823508054
Mandree;101.196632022064932
YELLOW.Eyes;96.572225606066979
XFOURSE;96.136500314830002
oukoo;91.918743307740016
Yuppe;79.794043026079990
"maryy, Yukisoru, di4umi";79.014345811652973
"maryy, oukoo";78.575779070270002
Dimian;78.204271319642999
"evacry, 3umph";75.543962161952990
слипи;62.349409652283995
Zerix;61.846106646588886
kenma;59.747777031761999
LALLLEK;59.354300709495980
hayase;59.291070706560006
"Concolor Area";58.439988276987009
SOBERBO1;56.650867543575004
"syndrome, kaourtney";55.484588098346997
romanastasi;52.842516385559001
тенда;51.622500012036994
babybonov;50.855087844755012
"no life";45.714643290530006
"DELFIKSTAF, UMSY";45.550377472235994
"rockluv, lil fruity";45.255878219722000
Nanami;44.805956797335000
ЯросL#ve;43.884518996673009
колпак;42.852802744296973
"лил чича, иса, ИНФИ";40.527795521016003
SXNDERMXDE;39.757078711853971
тенденция;39.002245704199993
"breakfall, angelgrind";38.486427933960002
"DELFIKSTAF, dekma";38.009716119218005
"экстра!, щкёрт";37.489808432967010
"maryy, di4umi";37.102653246016985
"senCA, nt4lone, zeromandia";34.718871139215999
"preziklil, Paskeka, CBmainer";34.694529290101002
ИНФИ;34.123043146194007
"тёма дарки";33.110974901944005
"LALLLEK, never die";32.976673335302998
"МОЛОДОЙ ПАКЕТ, devins0ul";32.717780780273998
"Ecsta, legrinn";29.767287317120999
"nipa regret, kannoe, onokami";28.595159318830994
ARTEX;28.574646545270021
"CBmainer, Paskeka, sKer1T";26.125914437758997
"лил чича";24.859676648143004
"VIRGIN 4EVER, Kinnashi";22.678225707508002
SADBOI;22.486157164492006
LEEPWAY;22.250246922111995
"Daddy Rozen";21.137554583497018
"YELLOW.Eyes, whited0lly.exe";20.468515151702999
"Clxudboy, .youngfox";20.299739085741997
